Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-11-10 00:00:00+05:30,689.5912941025166,695.4052488637354,687.029247003036,690.8230590820312,932886,0.0,0.0
2022-11-11 00:00:00+05:30,695.7008744241134,711.4182079078342,694.863298279105,708.51123046875,2607860,0.0,0.0
2022-11-14 00:00:00+05:30,712.0586656970252,720.7303391516808,706.195512589426,708.9053955078125,2089880,0.0,0.0
2022-11-15 00:00:00+05:30,709.8908725273052,714.2759080812332,702.401704779739,711.8123779296875,1065114,0.0,0.0
2022-11-16 00:00:00+05:30,709.9893264528133,711.4181858424296,693.7300289004588,697.9180297851562,1395043,0.0,0.0
2022-11-17 00:00:00+05:30,694.7154802078469,702.549517864678,687.3741485653475,698.262939453125,1391449,0.0,0.0
2022-11-18 00:00:00+05:30,699.6425651346889,701.2192003784892,690.9709510042288,697.8688354492188,893816,0.0,0.0
2022-11-21 00:00:00+05:30,709.4966568891829,712.3050570981252,682.5456621055392,686.3887329101562,3360316,0.0,0.0
2022-11-22 00:00:00+05:30,686.3394391039341,699.5439835983011,680.9196732531492,697.9180297851562,2421572,0.0,0.0
2022-11-23 00:00:00+05:30,699.741007229989,711.4674335866251,697.6716661763581,710.03857421875,1735389,0.0,0.0
2022-11-24 00:00:00+05:30,711.4674737986869,717.8233933151789,706.6389308742757,715.35986328125,1654760,0.0,0.0
2022-11-25 00:00:00+05:30,711.467519455481,717.9712151045028,709.5952124516335,715.6062622070312,1466688,0.0,0.0
2022-11-28 00:00:00+05:30,708.0186055516276,714.1774312784163,699.642602563195,705.210205078125,2418509,0.0,0.0
2022-11-29 00:00:00+05:30,704.0769109219979,725.1647528857605,703.4363690304975,721.8635864257812,3306817,0.0,0.0
2022-11-30 00:00:00+05:30,723.3909182233926,734.7724748303568,720.4346822516668,732.5552978515625,3962572,0.0,0.0
2022-12-01 00:00:00+05:30,736.2506612590654,741.9660393067561,732.2596942104101,735.4130249023438,1942307,0.0,0.0
2022-12-02 00:00:00+05:30,735.757907536411,740.3400373347323,729.7468581377942,732.2103881835938,1392199,0.0,0.0
2022-12-05 00:00:00+05:30,735.560787553808,747.9276959251973,735.1173401320121,745.5626831054688,2129340,0.0,0.0
2022-12-06 00:00:00+05:30,743.9368361182384,744.725153726042,729.4020084404889,735.8564453125,1468238,0.0,0.0
2022-12-07 00:00:00+05:30,736.1520277474601,740.0444172037854,725.5095901015806,727.3818969726562,1162282,0.0,0.0
2022-12-08 00:00:00+05:30,727.3819883539458,735.8072500427038,725.3125867925494,733.83642578125,1053397,0.0,0.0
2022-12-09 00:00:00+05:30,737.5316145339683,739.8473086481297,727.4311416557848,729.5990600585938,1338271,0.0,0.0
2022-12-12 00:00:00+05:30,727.234080233078,731.1757283644225,716.8872538882983,730.04248046875,1224081,0.0,0.0
2022-12-13 00:00:00+05:30,733.6392363015541,735.1173543061911,724.9183641321054,733.3928833007812,1201367,0.0,0.0
2022-12-14 00:00:00+05:30,737.0388857940486,748.568217728146,734.9694845960054,746.8930053710938,1471083,0.0,0.0
2022-12-15 00:00:00+05:30,744.9715292971223,751.7708966779842,730.1903481602745,732.5060424804688,1690335,0.0,0.0
2022-12-16 00:00:00+05:30,729.0078361503543,736.6447796802132,724.2778702511395,732.6046142578125,1498658,0.0,0.0
2022-12-19 00:00:00+05:30,731.175757873877,739.8473720838566,728.9585807105129,738.51708984375,944749,0.0,0.0
2022-12-20 00:00:00+05:30,729.6484183222722,736.2506915736816,722.4056031331594,734.9203491210938,1512103,0.0,0.0
2022-12-21 00:00:00+05:30,739.0590105092834,741.9659879795752,728.8600202221658,732.2596435546875,1605753,0.0,0.0
2022-12-22 00:00:00+05:30,732.2596127980074,738.0735674943908,723.7358353216854,726.7905883789062,1403642,0.0,0.0
